doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cam-nang-tra-hang-hoan-tien,data/data-canhan/cam-nang-tra-hang-hoan-tien.md,Cẩm nang trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79258,2026-08-03,not-stated,public-source
chinh-sach-tra-hang-hoan-tien,data/data-canhan/chinh-sach-tra-hang-hoan-tien.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-08-03,not-stated,public-source
quan-ly-don-giao-khong-thanh-cong,data/data-canhan/quan-ly-don-giao-khong-thanh-cong.md,Quản lý đơn hàng giao không thành công,https://help.shopee.vn/portal/1/article/102523,2026-08-03,not-stated,public-source
quan-ly-don-tra-hang-hoan-tien,data/data-canhan/quan-ly-don-tra-hang-hoan-tien.md,Quản lý đơn trả hàng hoàn tiền,https://help.shopee.vn/portal/1/article/102521,2026-08-03,not-stated,public-source
quy-dinh-chung-tra-hang-hoan-tien,data/data-canhan/quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-source
quy-trinh-xu-ly-yeu-cau-tra-hang,data/data-canhan/quy-trinh-xu-ly-yeu-cau-tra-hang.md,Quy trình xử lý yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-08-03,not-stated,public-source
thoi-gian-nhan-tien-hoan,data/data-canhan/thoi-gian-nhan-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-08-03,not-stated,public-source
